,short_name,total
58,M. Verratti,84.33333333333333
8,L. Modrić,83.33333333333333
101,Marcelo,83.0
61,J. Kimmich,83.0
107,Allan,82.33333333333333
75,F. de Jong,82.33333333333333
65,M. Pjanić,82.33333333333333
124,Alex Telles,81.66666666666667
21,Sergio Busquets,81.66666666666667
15,N. Kanté,81.66666666666667
52,Thiago,81.33333333333333
212,R. Nainggolan,81.33333333333333
51,Jordi Alba,81.0
213,E. Banega,81.0
142,A. Vidal,81.0
405,M. Acuña,81.0
102,A. Witsel,80.66666666666667
105,Koke,80.66666666666667
112,João Cancelo,80.66666666666667
36,T. Kroos,80.33333333333333
92,D. Alaba,80.33333333333333
44,Fernandinho,80.33333333333333
94,Carvajal,80.33333333333333
64,I. Rakitić,80.33333333333333
374,M. Dembélé,80.33333333333333
115,Arthur,80.0
312,Ander Herrera,80.0
146,I. Gündoğan,80.0
78,S. Milinković-Savić,80.0
81,Fabinho,80.0
174,Grimaldo,80.0
103,Alex Sandro,79.66666666666667
292,L. Biglia,79.66666666666667
221,Illarramendi,79.66666666666667
303,A. Kolarov,79.66666666666667
222,D. Blind,79.66666666666667
5,K. De Bruyne,79.66666666666667
698,K. Asamoah,79.66666666666667
139,G. Wijnaldum,79.33333333333333
129,João Moutinho,79.33333333333333
80,Saúl,79.33333333333333
160,T. Alexander-Arnold,79.33333333333333
244,L. Torreira,79.33333333333333
218,J. Henderson,79.33333333333333
179,L. Digne,79.33333333333333
132,M. Hamšík,79.33333333333333
134,Lucas Leiva,79.0
229,C. Aránguiz,79.0
69,Parejo,79.0
85,Bruno Fernandes,79.0
265,Ricardo Pereira,79.0
99,B. Matuidi,79.0
338,E. Can,79.0
455,Bernat,79.0
49,M. Hummels,79.0
24,P. Pogba,79.0
274,Sergi Roberto,78.66666666666667
79,Rodri,78.66666666666667
308,G. Bonaventura,78.66666666666667
82,A. Robertson,78.66666666666667
768,O. Zinchenko,78.66666666666667
371,J. Milner,78.66666666666667
117,L. Goretzka,78.66666666666667
173,A. Rabiot,78.66666666666667
389,M. Sissoko,78.66666666666667
331,T. Ndombele,78.33333333333333
215,S. Khedira,78.33333333333333
341,P. Zieliński,78.33333333333333
397,Marcos Alonso,78.33333333333333
144,Azpilicueta,78.33333333333333
199,Jorginho,78.33333333333333
347,L. Shaw,78.33333333333333
381,A. Guardado,78.33333333333333
361,M. Brozović,78.33333333333333
157,Fabián,78.33333333333333
147,Paulinho,78.33333333333333
18,Sergio Ramos,78.33333333333333
525,K. Trippier,78.33333333333333
240,M. Kovačić,78.0
314,Mário Fernandes,78.0
279,J. Roussillon,78.0
359,Thiago Mendes,78.0
507,D. Wass,78.0
148,K. Walker,78.0
399,André Almeida,77.66666666666667
400,A. Florenzi,77.66666666666667
326,Rosberto Dourado,77.66666666666667
450,R. Rodríguez,77.66666666666667
62,Isco,77.66666666666667
166,C. Tolisso,77.66666666666667
484,M. Vecino,77.66666666666667
579,R. Zobnin,77.66666666666667
258,T. Partey,77.66666666666667
357,R. Guerreiro,77.66666666666667
503,D. Rose,77.66666666666667
47,J. Vertonghen,77.66666666666667
226,I. Gueye,77.66666666666667
550,F. Ghoulam,77.66666666666667
290,Santi Cazorla,77.66666666666667
345,G. Kondogbia,77.66666666666667
271,T. Delaney,77.33333333333333
339,Gayà,77.33333333333333
886,C. Ansaldi,77.33333333333333
880,N. Şahin,77.33333333333333
159,G. Lo Celso,77.33333333333333
412,N. Barella,77.33333333333333
472,Gabriel,77.33333333333333
925,S. Rudy,77.33333333333333
610,Angeliño,77.33333333333333
441,L. Paredes,77.33333333333333
42,Casemiro,77.33333333333333
672,Borja Valero,77.33333333333333
113,D. Alli,77.33333333333333
45,Thiago Silva,77.0
452,Campaña,77.0
429,B. Mendy,77.0
336,Dani Ceballos,77.0
444,André Gomes,77.0
1043,M. Weiser,77.0
7,V. van Dijk,77.0
447,V. Rongier,77.0
344,Rafinha,77.0
531,F. Coquelin,77.0
225,J. Cuadrado,77.0
420,H. Winks,77.0
567,M. Nérez,77.0
337,Pablo Fornals,76.66666666666667
22,A. Griezmann,76.66666666666667
317,T. Meunier,76.66666666666667
189,William Carvalho,76.66666666666667
259,K. Demirbay,76.66666666666667
656,L. Spinazzola,76.66666666666667
512,M. Díaz,76.66666666666667
382,L. Piszczek,76.66666666666667
275,N. Schulz,76.66666666666667
390,M. Parolo,76.66666666666667
549,Ismaily,76.66666666666667
760,D. Zakaria,76.66666666666667
743,Rubén Alcaraz,76.66666666666667
533,K. Strootman,76.66666666666667
700,S. Lulić,76.66666666666667
349,A. Doucouré,76.33333333333333
446,J. Weigl,76.33333333333333
33,David Silva,76.33333333333333
644,Fred,76.33333333333333
569,R. Bentancur,76.33333333333333
517,Antunes,76.33333333333333
243,N. Keïta,76.33333333333333
245,Rúben Neves,76.33333333333333
289,Jesús Navas,76.33333333333333
396,N. Matić,76.33333333333333
505,Raúl García,76.33333333333333
291,H. Herrera,76.33333333333333
379,Renato Augusto,76.33333333333333
564,Welington Dano,76.33333333333333
227,K. Kampl,76.33333333333333
56,Marquinhos,76.33333333333333
688,S. Coleman,76.33333333333333
