short_name,total
M. Verratti,84.33333333333333
L. Modrić,83.33333333333333
Marcelo,83.0
J. Kimmich,83.0
Allan,82.33333333333333
F. de Jong,82.33333333333333
M. Pjanić,82.33333333333333
Alex Telles,81.66666666666667
Sergio Busquets,81.66666666666667
N. Kanté,81.66666666666667
Thiago,81.33333333333333
R. Nainggolan,81.33333333333333
Jordi Alba,81.0
E. Banega,81.0
A. Vidal,81.0
M. Acuña,81.0
A. Witsel,80.66666666666667
Koke,80.66666666666667
João Cancelo,80.66666666666667
T. Kroos,80.33333333333333
D. Alaba,80.33333333333333
Fernandinho,80.33333333333333
Carvajal,80.33333333333333
I. Rakitić,80.33333333333333
M. Dembélé,80.33333333333333
Arthur,80.0
Ander Herrera,80.0
I. Gündoğan,80.0
S. Milinković-Savić,80.0
Fabinho,80.0
Grimaldo,80.0
Alex Sandro,79.66666666666667
L. Biglia,79.66666666666667
Illarramendi,79.66666666666667
A. Kolarov,79.66666666666667
D. Blind,79.66666666666667
K. De Bruyne,79.66666666666667
K. Asamoah,79.66666666666667
G. Wijnaldum,79.33333333333333
João Moutinho,79.33333333333333
Saúl,79.33333333333333
T. Alexander-Arnold,79.33333333333333
L. Torreira,79.33333333333333
J. Henderson,79.33333333333333
L. Digne,79.33333333333333
M. Hamšík,79.33333333333333
Lucas Leiva,79.0
C. Aránguiz,79.0
Parejo,79.0
Bruno Fernandes,79.0
Ricardo Pereira,79.0
B. Matuidi,79.0
E. Can,79.0
Bernat,79.0
M. Hummels,79.0
P. Pogba,79.0
Sergi Roberto,78.66666666666667
Rodri,78.66666666666667
G. Bonaventura,78.66666666666667
A. Robertson,78.66666666666667
O. Zinchenko,78.66666666666667
J. Milner,78.66666666666667
L. Goretzka,78.66666666666667
A. Rabiot,78.66666666666667
M. Sissoko,78.66666666666667
T. Ndombele,78.33333333333333
S. Khedira,78.33333333333333
P. Zieliński,78.33333333333333
Marcos Alonso,78.33333333333333
Azpilicueta,78.33333333333333
Jorginho,78.33333333333333
L. Shaw,78.33333333333333
A. Guardado,78.33333333333333
M. Brozović,78.33333333333333
Fabián,78.33333333333333
Paulinho,78.33333333333333
Sergio Ramos,78.33333333333333
K. Trippier,78.33333333333333
M. Kovačić,78.0
Mário Fernandes,78.0
J. Roussillon,78.0
Thiago Mendes,78.0
D. Wass,78.0
K. Walker,78.0
André Almeida,77.66666666666667
A. Florenzi,77.66666666666667
Rosberto Dourado,77.66666666666667
R. Rodríguez,77.66666666666667
Isco,77.66666666666667
C. Tolisso,77.66666666666667
M. Vecino,77.66666666666667
R. Zobnin,77.66666666666667
T. Partey,77.66666666666667
R. Guerreiro,77.66666666666667
D. Rose,77.66666666666667
